id,school,stratum,gender,age,bullied,escs,skip_sch,CM033Q01S,CM474Q01S,CM155Q01S,CM155Q04S,CM411Q01S,CM411Q02S,CM803Q01S,CM442Q02S,CM034Q01S,CM305Q01S,CM496Q01S,CM496Q02S,CM423Q01S,CM192Q01S,CM603Q01S,CM571Q01S,CM564Q01S,CM564Q02S,CM447Q01S,CM273Q01S,CM408Q01S,CM420Q01S,CM446Q01S,CM559Q01S,CM828Q03S,CM464Q01S,CM800Q01S,CM982Q01S,CM982Q02S,CM982Q03S,CM982Q04S,CM992Q01S,CM992Q02S,CM915Q01S,CM915Q02S,CM906Q01S,CM909Q01S,CM909Q02S,CM909Q03S,CM949Q01S,CM949Q02S,CM00GQ01S,CM955Q03S,CM905Q01S,CM919Q01S,CM919Q02S,CM954Q01S,CM954Q04S,CM943Q01S,CM943Q02S,CM953Q03S,CM948Q01S,CM948Q02S,CM948Q03S,CM936Q01S,CM939Q02S,CM967Q01S,CM967Q03S
9601747,9600002,BRN02,1,15.42,0.2988,-0.3481,0,,,,,,,,,0,,,,,,,,,,0,,0,,,,,,0,,,,,,,,,,1,0,0,,,,,,1,0,,,,,,,,,,,,
9601784,9600002,BRN02,1,15.83,-1.228,-0.1866,0,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,1,0,0,,,,
9601791,9600002,BRN02,1,15.92,0.2121,1.1971,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9601793,9600002,BRN02,1,16.08,0.7712,0.1656,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,0,0,,,,
9601804,9600002,BRN02,1,16.17,-1.228,-0.8066,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
9601817,9600002,BRN02,1,15.75,-1.228,0.803,0,1,,,,,,0,1,,,,,,,,,,,,,,0,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,1,,
9601871,9600002,BRN02,1,15.67,-0.267,-0.7997,0,,,1,0,,,,0,1,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
9601988,9600002,BRN02,1,15.67,0.3635,0.6071,1,,,1,0,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,0,0,,,,,,,,
9602041,9600002,BRN02,1,16.17,-0.2016,0.1665,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,,1,1,0,0,,0,0
9602059,9600002,BRN02,1,15.42,0.2121,0.621,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,,,,,,,,,,,,,,1,0,,,,1,0,0,,,,
9602134,9600002,BRN02,1,15.83,-1.228,1.0711,0,,,,,,,,,1,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
9602181,9600002,BRN02,1,16.08,1.1227,-1.093,0,,1,,,0,0,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,
