score,school,gender,age,bullied,escs,skip_sch
52,AE,F,16.17,-1.228,-0.374,0
58,AE,M,15.75,0.9078,0.122,1
57,AE,F,15.83,-0.391,-0.9692,0
84,AE,F,15.33,-1.228,-0.9246,0
81,AE,M,16.17,1.9044,0.6045,0
60,AE,M,16,-1.228,0.0449,0
62,AE,M,16,2.0952,1.4082,0
75,AE,F,15.83,-1.228,0.5393,1
69,AE,M,15.83,-0.1325,-0.6365,0
60,AE,F,15.83,0.7193,-0.6515,0
44,AE,M,15.33,-1.228,-0.7112,0
67,AE,M,15.75,1.3883,0.7276,0
43,AE,F,15.92,-0.267,0.1647,1
81,AE,F,16,0.5504,-0.3324,0
48,AE,M,15.83,-1.228,-1.1576,0
86,AE,F,15.58,-1.228,-1.0604,0
35,AE,F,15.92,1.7145,-0.0724,0
55,AE,M,15.83,0.7179,0.0108,0
56,AF,M,16.08,0.9917,-0.8912,0
41,AF,M,16,1.7916,0.4243,1
57,AF,F,16.17,0.7429,0.6528,0
30,AF,F,15.33,0.8222,-1.7474,0
65,AF,M,15.33,1.0479,-0.8282,0
22,AF,F,16.25,1.3136,0.1779,0
56,AF,M,15.83,0.5049,-1.0141,0
40,AF,F,15.75,-1.228,-2.6999,0
59,AF,F,15.33,-1.228,-0.3749,0
25,AF,F,15.67,0.7179,-1.2399,0
26,AF,M,15.33,1.3337,-0.2667,0
31,AF,M,16.25,1.6579,-0.0742,0
43,AF,M,15.5,0.6942,-2.1227,0
68,AF,F,16.08,0.8231,0.4978,0
73,AF,M,16.25,0.379,-0.9608,0
15,AF,F,16.08,1.1219,-2.9127,0
39,AF,F,15.83,0.469,-1.0718,0
26,AF,F,15.92,-1.228,-1.5022,0
67,AF,M,15.75,0.3447,-1.698,1
46,AF,F,16.25,0.7296,-1.5751,0
60,AF,F,15.5,1.4222,0.0337,0
29,AF,M,15.92,1.5775,-0.493,1
44,AF,M,15.67,0.6364,-0.9976,0
58,AF,F,15.83,-0.4588,-0.2569,1
68,AF,F,15.5,-1.228,-1.4372,0
45,AF,M,15.67,1.1351,-0.543,0
39,AF,M,16.17,1.2873000000000001,-1.2175,0
37,AF,M,16.17,1.2735,-0.0777,0
80,AF,M,15.92,-1.228,-1.5081,0
55,AF,M,16.17,0.9521,-2.0505,0
52,AF,M,15.58,1.1304,-1.5235,0
45,AF,M,16.25,-1.228,-0.6619,0
45,AF,F,15.5,-1.228,0.1713,0
75,AF,F,15.58,1.4007,0.9746,0
24,AF,M,15.92,0.5868,-0.3594,1
40,AF,M,15.83,1.4747,0.3069,1
52,AF,M,15.42,1.0692,-0.8366,0
73,AF,M,16.17,1.284,-0.7481,0
34,AF,F,16,-1.228,-1.8165,0
42,AF,F,15.75,0.8192,-0.3492,0
51,AF,F,16.17,1.3236,-1.8074,1
46,AF,M,16.25,-1.228,-0.581,0
57,AF,M,15.83,-0.267,-0.1112,0
32,AF,M,15.5,1.4747,-0.4618,1
65,AF,F,15.83,-0.1325,0.9552,0
37,AF,M,15.58,1.7915,-2.2638,0
40,AF,F,15.42,1.2048,-0.3282,0
78,AF,F,15.42,-0.267,0.9756,0
40,AF,M,15.5,1.6703,-1.168,0
38,AF,F,16,-1.228,-0.7188,0
47,AF,M,16.25,1.1219,-0.703,0
61,AF,F,15.5,0.2289,-0.8227,1
67,AF,F,15.83,1.6336,-3.1033,0
